uid,paymentType,Payment
qicsp,type2,200
ccagv,type1,400
kwlbs,type2,200
jejtf,type2,200
rcpbj,type1,400
rcpbj,type2,200
ymgky,type2,200
viqfc,type2,200
atjba,type2,200
dxikp,type1,400
njlsj,type1,400
suvcb,type2,200
indbr,type1,400
indbr,type2,200
jedwg,type1,400
canqj,type1,400
dkwpw,type2,200
uwkok,type2,200
ougur,type1,400
okfyn,type2,200
mmbeq,type2,200
styvu,type1,400
vkkjp,type2,200
gyrol,type1,400
gyrol,type2,200
ckjwi,type1,400
ckjwi,type2,200
updst,type1,400
buydf,type2,200
tttno,type1,400
flsxv,type1,400
qlwfn,type2,200
mnjsu,type2,200
eksbl,type1,400
fvenh,type1,400
ophih,type2,200
hsjos,type2,200
kecgs,type1,400
rpmky,type1,400
kkjxm,type1,400
uicbf,type2,200
vqutc,type2,200
nvskt,type1,400
nvskt,type2,200
ofvxq,type2,200
tdmkw,type1,400
kmqse,type2,200
swanf,type1,400
swanf,type2,200
funwq,type2,200
wxbel,type1,400
fodrc,type2,200
yddrh,type2,200
iddtp,type2,200
lkajh,type1,400
kutax,type1,400
kutax,type2,200
tayyn,type1,400
kevje,type2,200
rgsmh,type1,400
ccnmc,type2,200
bvsqy,type2,200
ikofr,type2,200
kbnxr,type2,200
skjem,type2,200
wgtav,type1,400
dokbp,type1,400
rchop,type2,200
xxbag,type1,400
yssob,type2,200
gxpoo,type1,400
edbvf,type2,200
ivbet,type2,200
hxtra,type2,200
telsi,type1,400
miwux,type2,200
imuen,type2,200
xkayk,type1,400
xkayk,type2,200
jngxv,type2,200
woiku,type1,400
wqrwv,type2,200
owblj,type1,400
ylohr,type2,200
txhxl,type1,400
bjldy,type2,200
eylht,type2,200
pohff,type1,400
monpv,type2,200
tftjs,type1,400
vghdq,type1,400
jkpeg,type1,400
cskig,type1,400
cskig,type2,200
pofia,type1,400
ssven,type1,400
ssven,type2,200
jkqlf,type2,200
tdrxt,type2,200
pccwv,type1,400
nuhgc,type2,200
brfrj,type1,400
iwfik,type1,400
iwfik,type2,200
ergga,type1,400
rxtdb,type2,200
daffp,type2,200
alohd,type2,200
sjmui,type1,400
fiitq,type2,200
uliqj,type1,400
upwoa,type1,400
upwoa,type2,200
wccvw,type1,400
wccvw,type2,200
drahv,type2,200
bgwpj,type2,200
ividn,type2,200
hseil,type1,400
aecbr,type2,200
ljufy,type1,400
bxjeg,type1,400
lvyxh,type2,200
dxxmm,type2,200
kqpqn,type1,400
aodbh,type2,200
liusj,type2,200
sqplb,type1,400
sqplb,type2,200
yesfj,type1,400
lqgec,type2,200
ndwqa,type1,400
mnwbu,type2,200
yfuve,type2,200
gatsk,type2,200
ykjhi,type2,200
vumgm,type1,400
chxoi,type1,400
chxoi,type2,200
inlhy,type1,400
ndoth,type2,200
hykmf,type2,200
bnvyu,type2,200
clxua,type2,200
hnfxj,type1,400
hnfxj,type2,200
dooly,type2,200
retrb,type2,200
iwfds,type1,400
hevcb,type2,200
kavsj,type1,400
iudlm,type2,200
folrr,type2,200
hpwec,type1,400
lrwok,type1,400
lrwok,type2,200
awmqc,type2,200
dvlyh,type2,200
ilqsl,type2,200
jmmfx,type1,400
jmmfx,type2,200
gsjos,type1,400
gsjos,type2,200
teqfy,type2,200
fyajo,type1,400
iveai,type2,200
otuae,type2,200
tdurj,type1,400
fyoty,type1,400
ttfua,type2,200
jbmgx,type1,400
ieacq,type2,200
ebnie,type2,200
arbdd,type2,200
budkl,type2,200
dprgg,type1,400
jihcu,type1,400
awddn,type2,200
numbo,type1,400
qnwsi,type1,400
dhxlc,type1,400
vygau,type2,200
lqqjl,type2,200
sxrvr,type1,400
lsugc,type1,400
unlyi,type2,200
eencu,type1,400
eencu,type2,200
bxkaa,type1,400
kkvir,type1,400
ehthg,type2,200
owybi,type2,200
rjoqp,type1,400
otqor,type2,200
webra,type1,400
xvpib,type2,200
nbwor,type1,400
oeack,type1,400
axgkr,type2,200
bncpw,type2,200
eqkdv,type2,200
nyxno,type2,200
oegeq,type1,400
oegeq,type2,200
ghndf,type1,400
osqni,type2,200
ywcji,type2,200
udawb,type1,400
udawb,type2,200
fqucm,type1,400
vqxpm,type2,200
ftype,type1,400
bvyqy,type1,400
qwstq,type1,400
migoo,type2,200
gryxb,type2,200
orktl,type2,200
gpnst,type2,200
kgpcj,type2,200
hqwoi,type2,200
cmpqf,type1,400
cmpqf,type2,200
vjvtk,type2,200
golui,type2,200
utcvq,type2,200
xhtqy,type2,200
jphom,type2,200
bcfpa,type1,400
ibcje,type2,200
dytev,type2,200
ihuml,type1,400
ihuml,type2,200
oboim,type1,400
oboim,type2,200
lamuy,type1,400
drbnu,type2,200
wxmlw,type2,200
lhqmy,type1,400
wabgf,type1,400
abipm,type2,200
pghpt,type1,400
pghpt,type2,200
sonnr,type2,200
vuadx,type2,200
igrco,type2,200
tghhi,type2,200
guulb,type2,200
iexgr,type2,200
icurs,type1,400
icurs,type2,200
shcrk,type2,200
hqwns,type2,200
wogbh,type2,200
ftcrm,type1,400
pthxp,type1,400
nmqti,type2,200
vykrd,type1,400
vykrd,type2,200
ltgqr,type2,200
tqvhs,type1,400
ckffc,type2,200
pyhln,type1,400
sdnan,type2,200
vtrbd,type1,400
bsmre,type2,200
wosvs,type2,200
uodsu,type1,400
aisio,type1,400
jbjkf,type1,400
xatrs,type2,200
twihk,type1,400
qmdqu,type2,200
ibdtw,type1,400
tudis,type2,200
wvtna,type2,200
xiibp,type1,400
xiibp,type2,200
dtroc,type1,400
suoda,type2,200
rgqxg,type1,400
mktfv,type2,200
rrkwg,type2,200
rjitw,type1,400
rjitw,type2,200
bnhhc,type2,200
futit,type1,400
efxty,type2,200
gwugq,type2,200
mtads,type1,400
mtads,type2,200
kfnim,type1,400
alvul,type2,200
offmo,type2,200
imydg,type2,200
llipn,type1,400
hveik,type2,200
livda,type1,400
bvdap,type1,400
bvdap,type2,200
mmpvp,type2,200
nnhnr,type1,400
ejtxe,type2,200
cyohs,type1,400
cyohs,type2,200
xvtjo,type1,400
vfkkl,type1,400
vfkkl,type2,200
osftl,type2,200
qiwqk,type1,400
qiwqk,type2,200
asaoy,type1,400
qhdsn,type2,200
ntkda,type1,400
ntkda,type2,200
xmopv,type1,400
rnhkx,type2,200
saynx,type1,400
jvpjh,type2,200
kyrco,type2,200
hpljp,type1,400
qouxt,type1,400
psyha,type2,200
jaxxj,type2,200
fbqcb,type2,200
pigbu,type2,200
sqlba,type2,200
gcisw,type2,200
shdif,type2,200
aomdq,type1,400
vlirb,type2,200
hjwge,type1,400
cuhqs,type1,400
cuhqs,type2,200
klvxa,type2,200
onjyt,type1,400
onjyt,type2,200
wavmi,type2,200
svebv,type1,400
cocta,type2,200
athiv,type2,200
sivcf,type2,200
lmwnt,type1,400
lmwnt,type2,200
ektqn,type2,200
kmtln,type1,400
kmtln,type2,200
wvkvy,type1,400
amxvf,type2,200
wuvut,type1,400
qmcpy,type2,200
nqnau,type2,200
vbvio,type2,200
iymjt,type1,400
tpvbo,type1,400
oxgld,type2,200
lcudr,type1,400
scxin,type1,400
nutro,type1,400
akijx,type1,400
uqekc,type2,200
gtmtf,type1,400
mqmid,type1,400
cgnkp,type2,200
hvmkn,type2,200
djyue,type1,400
djyue,type2,200
onhhr,type2,200
dpqsj,type1,400
ikawm,type1,400
ikawm,type2,200
tynlj,type2,200
qrgxu,type2,200
mwenj,type1,400
mwenj,type2,200
yqhgh,type2,200
nmlqk,type2,200
nntyh,type1,400
nntyh,type2,200
npida,type1,400
nqxls,type1,400
nqxls,type2,200
snhbt,type1,400
qiiei,type2,200
xcpeu,type1,400
xcpeu,type2,200
dsgsn,type2,200
rxqgr,type2,200
bvffl,type2,200
flclu,type2,200
biusc,type1,400
vdvcb,type2,200
aydyu,type1,400
awenu,type2,200
tpsqi,type1,400
occte,type1,400
bldao,type2,200
yhfrf,type2,200
ptytn,type1,400
jkubw,type2,200
loxic,type1,400
qqcno,type2,200
stniw,type1,400
stniw,type2,200
lvqsp,type1,400
lvqsp,type2,200
rwami,type1,400
lcrqe,type2,200
gjpps,type1,400
gkqdv,type2,200
odsey,type2,200
lbpid,type2,200
bvsje,type1,400
vqabg,type2,200
kfgeg,type2,200
ikbdp,type2,200
xksau,type2,200
enapg,type1,400
enapg,type2,200
mmxqy,type1,400
mmxqy,type2,200
wxloy,type1,400
wxloy,type2,200
pcfub,type2,200
qgmea,type1,400
cuixe,type1,400
myrde,type1,400
jrafr,type2,200
gfypv,type1,400
aiipv,type2,200
qwudu,type2,200
frsbl,type1,400
kgnac,type1,400
kgnac,type2,200
tjegg,type1,400
rharm,type1,400
rharm,type2,200
xafxk,type1,400
krees,type1,400
xfmau,type2,200
aehoi,type2,200
sgdlf,type1,400
sgdlf,type2,200
ykgtb,type2,200
gqkys,type2,200
bapfp,type2,200
rrtlo,type1,400
lhpwo,type2,200
wvhkp,type2,200
pixqx,type2,200
xceel,type2,200
jwjla,type1,400
dfjqo,type1,400
pymfh,type1,400
spsiv,type1,400
pwnxy,type2,200
cejtr,type1,400
fhyln,type2,200
ckflr,type1,400
cljrm,type2,200
sjmvq,type2,200
xisae,type1,400
xisae,type2,200
rxoay,type2,200
modvr,type2,200
ebqcc,type2,200
qtnkh,type2,200
kapgk,type1,400
ayieo,type2,200
rnkuf,type1,400
bchjh,type2,200
dtwia,type1,400
ynati,type1,400
ctlxg,type2,200
ibbuk,type2,200
rmyjk,type2,200
nhlut,type1,400
uvsgm,type2,200
kcfjg,type1,400
vhdnq,type1,400
jyuro,type1,400
buiqm,type2,200
vfbhr,type2,200
rciij,type2,200
coeyv,type2,200
grppd,type1,400
uywsg,type2,200
wxavt,type2,200
sknqo,type2,200
smakm,type1,400
aicna,type2,200
awuyp,type1,400
eqgvk,type2,200
ofefg,type1,400
ittkj,type1,400
ajgtb,type1,400
idfpt,type1,400
idfpt,type2,200
wjqht,type2,200
oovua,type1,400
wvbgp,type1,400
wvbgp,type2,200
fxqei,type1,400
hexsb,type1,400
ufpqi,type1,400
kxaxf,type2,200
rkhqy,type1,400
wgeek,type2,200
qbxbc,type2,200
qbfsl,type1,400
ubcsg,type1,400
ubcsg,type2,200
hcsbi,type2,200
bvfug,type1,400
jkjxh,type2,200
wxjhc,type2,200
ppbld,type2,200
yjxgi,type2,200
uwhtr,type1,400
uwhtr,type2,200
yaatq,type2,200
yndae,type1,400
pskpa,type1,400
guoyo,type1,400
sdtmw,type2,200
xjlct,type1,400
xjlct,type2,200
mhwxx,type2,200
atpph,type2,200
anqie,type1,400
jwbyx,type1,400
pslbl,type1,400
ygoln,type2,200
baleq,type1,400
baleq,type2,200
bjpkh,type2,200
mcewc,type2,200
suqms,type2,200
vwlni,type2,200
cbknr,type1,400
cbknr,type2,200
fmjme,type1,400
oyrld,type2,200
kifkv,type1,400
kphwl,type2,200
vsivc,type2,200
fgfol,type1,400
fkhqi,type1,400
fkhqi,type2,200
kvcta,type2,200
yvedr,type2,200
uvrbx,type2,200
efjvq,type2,200
dglex,type2,200
pwvmd,type2,200
apvrg,type1,400
qwahw,type1,400
qwahw,type2,200
oahsy,type1,400
wmsba,type2,200
sqtct,type2,200
kqgem,type2,200
lhauj,type2,200
kukql,type2,200
bmfnr,type2,200
cucdd,type1,400
tifxf,type2,200
spgup,type2,200
uefca,type1,400
wuvtb,type1,400
sgkqk,type1,400
qvjjk,type2,200
bxfch,type1,400
kdjle,type2,200
lawpk,type2,200
pbotb,type2,200
rjubt,type2,200
sbjct,type2,200
qxivk,type2,200
mwxad,type1,400
dihfp,type2,200
dtyui,type1,400
erdhq,type2,200
lwciu,type2,200
cwdgh,type2,200
ilqad,type1,400
wsslc,type1,400
xnajh,type1,400
bmdwa,type2,200
konhh,type2,200
lbjbe,type2,200
equta,type1,400
equta,type2,200
pjwns,type1,400
wovjp,type1,400
ubiux,type2,200
nrtii,type2,200
uonkp,type1,400
jlvql,type1,400
sayqn,type2,200
qeyop,type2,200
mmwvx,type2,200
cnnme,type2,200
myucr,type2,200
wrvyg,type2,200
pysps,type2,200
vgvlt,type1,400
vgvlt,type2,200
upyjr,type1,400
lhaqa,type1,400
lhaqa,type2,200
atmxr,type2,200
lrwkp,type1,400
wwjrb,type2,200
xhcax,type2,200
jbdlv,type1,400
ewuru,type1,400
lwfec,type1,400
dhwns,type2,200
bsabl,type2,200
gjout,type2,200
jmgca,type2,200
mlace,type2,200
hmquu,type2,200
krfik,type2,200
mowea,type1,400
mowea,type2,200
mtfcj,type2,200
mvbmc,type1,400
cepok,type1,400
cffsp,type1,400
wqeox,type2,200
veivh,type1,400
usmlk,type2,200
uyglv,type1,400
uyglv,type2,200
fnebh,type2,200
fbpsn,type1,400
bwwqv,type1,400
ruyfq,type2,200
cidmc,type2,200
pfpmn,type2,200
qmcvo,type1,400
slawc,type1,400
abeop,type1,400
qtchx,type2,200
brcnu,type1,400
brcnu,type2,200
rslhe,type1,400
bsbwq,type2,200
uwjdi,type1,400
ywvvq,type1,400
qunor,type2,200
nnxki,type2,200
jccyc,type1,400
yupmm,type1,400
xwfwt,type2,200
psrkt,type2,200
latfq,type2,200
euypm,type2,200
tgedp,type2,200
xwqcv,type2,200
vntnx,type2,200
qrxmh,type2,200
ojvup,type1,400
qqvmc,type2,200
haboa,type2,200
uhcpk,type1,400
xtyqt,type2,200
fwupm,type1,400
jqyva,type1,400
pxkve,type1,400
pxkve,type2,200
bbael,type2,200
uwiql,type1,400
rxpxd,type1,400
qyvtq,type2,200
tjhad,type2,200
keksy,type1,400
keksy,type2,200
nhlgy,type2,200
gnnxm,type1,400
gnnxm,type2,200
cglef,type2,200
wlopo,type2,200
pngue,type2,200
ldwwj,type2,200
ncblx,type2,200
essyb,type1,400
essyb,type2,200
jtswp,type2,200
sxopr,type2,200
vqfeq,type2,200
ijmwi,type2,200
wvxym,type2,200
rowij,type1,400
knbcp,type1,400
xbiio,type2,200
ghiin,type2,200
enpvv,type2,200
yctkm,type1,400
yctkm,type2,200
beetc,type2,200
cdjky,type2,200
wgtfx,type1,400
wgtfx,type2,200
tsqwm,type2,200
sqkmf,type1,400
fbkxp,type2,200
mbagb,type2,200
lqbhj,type2,200
qykfl,type2,200
mvqxe,type1,400
dgtyk,type1,400
gnddr,type2,200
cfwtq,type1,400
wvffy,type2,200
hcvub,type2,200
rcmay,type2,200
ppcvv,type2,200
tebyv,type2,200
mffov,type2,200
bquky,type2,200
fhnbd,type1,400
yyixw,type1,400
ivagt,type1,400
ivagt,type2,200
rkivu,type2,200
iowak,type2,200
lmdia,type2,200
rbrfg,type2,200
jiivl,type2,200
hptur,type1,400
afffs,type2,200
qwtsf,type1,400
qwtsf,type2,200
iserr,type2,200
bgunr,type2,200
hmjbs,type1,400
kkwco,type2,200
irklu,type1,400
untpg,type1,400
xuwio,type1,400
xuwio,type2,200
tbryb,type1,400
tbryb,type2,200
pigfd,type1,400
pigfd,type2,200
jlutn,type2,200
lhdtj,type1,400
wvqur,type2,200
htwjb,type1,400
rqtwu,type2,200
nbngl,type1,400
japik,type2,200
cwsbx,type1,400
stybs,type2,200
bqvbi,type1,400
rvwcb,type1,400
rvwcb,type2,200
mtjae,type2,200
mhyef,type2,200
aoxfc,type2,200
ewryu,type1,400
ahkep,type1,400
djxsa,type2,200
vmvkv,type1,400
ngcib,type2,200
eewoh,type2,200
jxnhy,type2,200
aswbr,type1,400
gnimw,type1,400
yjcxb,type1,400
qasor,type2,200
spinl,type1,400
spinl,type2,200
jjryh,type1,400
srpgs,type2,200
tklgs,type1,400
kfcxw,type2,200
corpk,type2,200
rvetv,type2,200
dulrb,type2,200
kpvkt,type1,400
kpvkt,type2,200
rdlsu,type2,200
jopfe,type1,400
klfnx,type1,400
tkxli,type1,400
fmlaa,type2,200
jwliw,type2,200
xsyib,type2,200
jtghc,type1,400
vhwke,type2,200
xgxww,type1,400
xgxww,type2,200
uophe,type1,400
uophe,type2,200
ebwnt,type1,400
jqssg,type2,200
offgm,type2,200
fnxkg,type2,200
xvncd,type2,200
bviwu,type2,200
einyc,type2,200
yrevx,type2,200
qvbey,type2,200
ptcka,type2,200
amlms,type2,200
gbvfu,type1,400
gbvfu,type2,200
lsxyl,type2,200
hijww,type1,400
qeqgc,type2,200
qcter,type1,400
iugfh,type1,400
fmqmj,type1,400
cgdhe,type2,200
amimp,type1,400
hwuwc,type2,200
gdcsy,type2,200
blibr,type2,200
hsllt,type1,400
ifncp,type2,200
ajfoa,type1,400
merta,type1,400
cxpvv,type2,200
vxgjn,type2,200
hhqix,type1,400
hhqix,type2,200
icqww,type2,200
doybj,type2,200
lvswr,type2,200
cvxpj,type1,400
cvxpj,type2,200
emlfo,type1,400
emlfo,type2,200
mivix,type2,200
dqddj,type1,400
dqddj,type2,200
tcyil,type1,400
tcyil,type2,200
dewht,type1,400
kopex,type1,400
kjncp,type1,400
negql,type2,200
gxyvg,type1,400
ayxsy,type1,400
ayxsy,type2,200
jbyvv,type2,200
masmi,type1,400
pjpbq,type2,200
bbcgx,type1,400
enmsk,type2,200
qwyxd,type2,200
ocygd,type2,200
xxbee,type1,400
ybjhn,type1,400
agook,type2,200
jiult,type1,400
jiult,type2,200
blcgl,type2,200
mhvej,type2,200
meacv,type2,200
isjqc,type1,400
isjqc,type2,200
nmvmc,type1,400
fjrar,type1,400
fjrar,type2,200
cjycy,type2,200
bcnnk,type2,200
fmjap,type1,400
jjqtp,type1,400
jvmpg,type2,200
twdxf,type2,200
xpnuo,type2,200
fqefo,type1,400
hqbnr,type2,200
ylkrk,type1,400
ylkrk,type2,200
tbmse,type2,200
fitxi,type1,400
fitxi,type2,200
wlsuy,type2,200
alofe,type1,400
alofe,type2,200
rgcou,type2,200
xrlic,type1,400
dbrse,type2,200
krklq,type1,400
krklq,type2,200
eavcs,type1,400
ssqkk,type2,200
cwvlw,type1,400
cwvlw,type2,200
haafq,type1,400
auxlf,type2,200
hkxxl,type2,200
rvlhf,type1,400
yevuf,type2,200
vfoqo,type2,200
xvudj,type2,200
lssob,type2,200
fgwqa,type1,400
eeqii,type2,200
anahw,type1,400
qtqlq,type1,400
eafgo,type2,200
dlvgd,type2,200
vckgw,type1,400
gogeo,type1,400
dnadu,type1,400
pspma,type2,200
dwkcx,type2,200
cprry,type1,400
qmpjw,type1,400
qmpjw,type2,200
lhkcc,type1,400
ygqhx,type1,400
ygqhx,type2,200
mftoe,type1,400
mftoe,type2,200
qseqw,type1,400
dxlbj,type1,400
rmwpj,type2,200
kguhy,type1,400
kguhy,type2,200
nngmg,type1,400
qsdhu,type2,200
fxhuq,type2,200
yyiev,type1,400
thfie,type2,200
ntqss,type2,200
tnkry,type2,200
uiqyd,type1,400
eltrf,type1,400
bixjf,type2,200
vblsa,type1,400
qjaep,type1,400
qjaep,type2,200
ijkwg,type2,200
qieqi,type2,200
bxsyc,type1,400
bxsyc,type2,200
qqpjo,type1,400
qqpjo,type2,200
xyrmt,type2,200
vqlyh,type2,200
ksvpr,type2,200
hnmxl,type1,400
orqwk,type1,400
orqwk,type2,200
kwchd,type1,400
dstfv,type2,200
tvgwd,type1,400
qrpvq,type1,400
fyjih,type1,400
fyjih,type2,200
xqtfq,type2,200
adpnr,type2,200
tkkgw,type1,400
rxtbp,type1,400
vnobp,type1,400
ynsxy,type1,400
dwvlp,type2,200
oecbo,type2,200
psmad,type2,200
htnji,type2,200
srmoo,type2,200
fjrmy,type2,200
nqafy,type1,400
nqafy,type2,200
eyywi,type2,200
ecyxc,type1,400
ecyxc,type2,200
mrasd,type2,200
kfcbc,type1,400
kfcbc,type2,200
voinq,type2,200
gwlvw,type1,400
gwlvw,type2,200
elqot,type1,400
elqot,type2,200
gihdv,type1,400
kevqt,type1,400
rqigu,type1,400
vjfbm,type1,400
vjfbm,type2,200
itqsr,type1,400
hrjla,type2,200
vkyqh,type2,200
cidhj,type2,200
ddtma,type1,400
poybg,type2,200
ulysy,type2,200
cewln,type2,200
anicg,type1,400
anicg,type2,200
gttld,type1,400
coacl,type1,400
auxgx,type2,200
nmxio,type2,200
cavds,type2,200
qvnfc,type1,400
jbncs,type1,400
oknqw,type2,200
puutg,type2,200
pprtp,type1,400
btfsh,type2,200
drgjq,type1,400
kmkfl,type2,200
kikrw,type2,200
qbouc,type1,400
xameq,type1,400
xameq,type2,200
ivcds,type2,200
jiomb,type1,400
egoef,type1,400
auspc,type1,400
chhww,type1,400
chhww,type2,200
oyvln,type2,200
ovnhn,type1,400
aqcyc,type1,400
cueth,type1,400
cueth,type2,200
olgcm,type1,400
sfsea,type2,200
ghaol,type1,400
mevlm,type2,200
hjmeg,type2,200
ahfwq,type1,400
qijdg,type2,200
mpwnv,type2,200
wyjum,type1,400
wyjum,type2,200
hagwg,type2,200
ynwui,type2,200
wprtq,type1,400
wprtq,type2,200
ajmvl,type1,400
rdkin,type2,200
vkocx,type2,200
mtqqo,type1,400
gjchq,type1,400
kogxp,type2,200
ckuua,type1,400
noolq,type2,200
brarl,type2,200
eenrx,type1,400
eenrx,type2,200
xfgdi,type2,200
hmxoc,type1,400
mhonx,type1,400
rxmaf,type2,200
sydfn,type1,400
sydfn,type2,200
cpqmu,type2,200
fritq,type1,400
ncuxj,type1,400
axsce,type1,400
axsce,type2,200
mjpru,type1,400
etefy,type1,400
ijcdq,type2,200
gigmu,type2,200
ghkcy,type1,400
iosrj,type1,400
iosrj,type2,200
qflfa,type2,200
lsqxw,type1,400
lsqxw,type2,200
nsfxp,type2,200
kiauk,type1,400
kiauk,type2,200
vohtb,type1,400
sltjn,type2,200
kumuh,type1,400
kumuh,type2,200
fnwrh,type1,400
fcwag,type2,200
dtbpp,type1,400
bfvay,type1,400
kuqxu,type1,400
bqicq,type2,200
hxorm,type2,200
ivkuo,type2,200
krgsa,type1,400
hywae,type2,200
mxtem,type1,400
mxtem,type2,200
avhvx,type1,400
mntuf,type1,400
ccqdb,type2,200
xiiok,type2,200
qcutu,type2,200
ubgrv,type2,200
tbxbs,type1,400
nlbgq,type1,400
wnrur,type2,200
illpp,type2,200
ifiyn,type1,400
ifiyn,type2,200
oyamt,type2,200
mlxiv,type2,200
wgqwq,type1,400
hkuln,type2,200
eabhm,type2,200
tjemc,type2,200
hbuew,type2,200
yibbi,type2,200
qgnyd,type2,200
baxkg,type1,400
eirxv,type2,200
mvoak,type1,400
firdn,type1,400
firdn,type2,200
xqylm,type1,400
xqylm,type2,200
tvino,type1,400
xyiqc,type2,200
utlfq,type2,200
ohoxt,type1,400
fmwac,type2,200
clhop,type2,200
jomcq,type2,200
srpwy,type2,200
nhuir,type1,400
nhuir,type2,200
lpcij,type2,200
jwojf,type2,200
lwqap,type2,200
xxqwb,type1,400
aiyso,type2,200
csdbu,type2,200
drvej,type2,200
ngylk,type2,200
nvoaj,type2,200
whfgf,type2,200
sntpl,type1,400
ychjp,type2,200
lbvme,type1,400
lbvme,type2,200
lqyas,type2,200
kolot,type1,400
bpdqe,type1,400
bpdqe,type2,200
wlfge,type2,200
uenyp,type1,400
dxwyr,type2,200
sosnt,type1,400
osayd,type2,200
jvdma,type2,200
btuwj,type1,400
asqhn,type2,200
jeslt,type2,200
ewyur,type2,200
mecot,type2,200
goexd,type2,200
ldyec,type1,400
ldyec,type2,200
efjls,type2,200
cnvty,type2,200
diplr,type2,200
ujrpr,type2,200
sxche,type1,400
nnhqg,type2,200
yudca,type2,200
dvqts,type1,400
kuywe,type1,400
gwjrx,type2,200
yottv,type1,400
ykcyx,type1,400
woexx,type2,200
hndog,type2,200
wksbp,type2,200
ktsed,type2,200
lpfvw,type1,400
hmxfq,type2,200
cxvre,type1,400
datca,type2,200
loxxp,type2,200
gxvol,type1,400
chsuu,type1,400
gslhp,type1,400
elfch,type2,200
ebnco,type2,200
wfkll,type2,200
jovyx,type1,400
uduxp,type2,200
mfnpt,type2,200
ruxcj,type1,400
wltha,type1,400
tadrx,type1,400
emwca,type2,200
oagnk,type1,400
vsrgb,type2,200
rgjmv,type1,400
rwegb,type2,200
jfdjl,type2,200
ojulk,type2,200
bmmbo,type1,400
fhsfq,type2,200
lgvtm,type2,200
qoxgg,type2,200
oodcq,type1,400
oodcq,type2,200
gpiag,type2,200
wersf,type2,200
demmj,type2,200
ddtrp,type2,200
bdqsh,type2,200
phhbb,type2,200
trgle,type1,400
tcoyo,type1,400
fernx,type1,400
fernx,type2,200
rtlxj,type2,200
pmjyu,type2,200
vsewc,type1,400
ueqcc,type1,400
ueqcc,type2,200
gwsiy,type1,400
gwsiy,type2,200
erelj,type2,200
fyiry,type2,200
xigpm,type2,200
hbalw,type1,400
rtxiu,type2,200
kfstt,type2,200
owmpt,type1,400
emhfr,type1,400
bcdlg,type2,200
gyhsn,type1,400
ubkui,type2,200
gyqgv,type1,400
weqhh,type2,200
polqs,type1,400
polqs,type2,200
wwpql,type2,200
oaojx,type1,400
uliuu,type2,200
caodh,type2,200
cnmlm,type1,400
ajtxf,type1,400
efaec,type2,200
vdtto,type2,200
oflmx,type2,200
vyyoj,type1,400
livbg,type1,400
mftul,type1,400
mftul,type2,200
uytqs,type1,400
mgihg,type1,400
amuuu,type2,200
hfwkt,type2,200
qginn,type1,400
kdjel,type1,400
ootkj,type1,400
htsdb,type2,200
ywakd,type1,400
lowtx,type2,200
xhabl,type1,400
kbnnv,type2,200
fwdsv,type1,400
fwdsv,type2,200
mplgj,type2,200
wnleh,type1,400
krnev,type1,400
krnev,type2,200
yduid,type2,200
wddlu,type1,400
wygrs,type1,400
mqwrb,type1,400
txkbm,type2,200
esnvc,type2,200
dudbc,type1,400
hsppr,type2,200
nmnfq,type2,200
punsu,type2,200
vhmtn,type2,200
uqkgx,type2,200
nqijo,type1,400
necnf,type1,400
uyenc,type2,200
yfyvs,type2,200
awogk,type2,200
ormuk,type2,200
ynifa,type2,200
kclkc,type2,200
pykbi,type2,200
cuops,type2,200
twnht,type2,200
mswrw,type2,200
geyei,type1,400
tivmk,type1,400
hppap,type1,400
hppap,type2,200
jrxvn,type1,400
plaqx,type2,200
lgdyt,type1,400
lgdyt,type2,200
wgqbf,type2,200
kdydh,type1,400
xicbf,type2,200
ytgcq,type1,400
ytgcq,type2,200
pajup,type2,200
bynqp,type1,400
bynqp,type2,200
vynav,type1,400
ipjny,type2,200
fhrco,type2,200
gyskl,type1,400
sftel,type1,400
nyght,type1,400
orbap,type2,200
hvoul,type1,400
hvoul,type2,200
csbba,type2,200
dpswx,type2,200
rhbqy,type2,200
vdqgr,type2,200
pxivh,type2,200
sswfi,type2,200
emjcl,type1,400
kdeul,type2,200
vsufu,type1,400
mlcvm,type2,200
emroy,type2,200
wuels,type1,400
wuels,type2,200
lvxdh,type2,200
bolab,type1,400
wjatl,type1,400
pdyor,type1,400
lhnqr,type1,400
cbhqj,type2,200
iikdg,type2,200
pmraa,type2,200
heslm,type2,200
fmxni,type2,200
nfyda,type1,400
ysybj,type1,400
rvqav,type1,400
wwdwq,type1,400
basvi,type2,200
rawcm,type1,400
eagih,type2,200
uridt,type2,200
jxdla,type1,400
jxdla,type2,200
rbymi,type1,400
okvsd,type1,400
okvsd,type2,200
vhkgw,type2,200
qnlqr,type2,200
usumc,type2,200
ixtof,type1,400
ixtof,type2,200
whdbx,type2,200
yjyei,type2,200
cpeyq,type1,400
ikaoa,type1,400
hggib,type1,400
aomwl,type2,200
ahjpg,type1,400
xiifr,type1,400
pydpu,type2,200
rukyh,type2,200
wbetd,type2,200
lqgda,type2,200
yvvco,type2,200
actrd,type2,200
juxmv,type1,400
phwno,type2,200
huoce,type1,400
jqfmm,type1,400
ewpcu,type1,400
uosgi,type2,200
vbamr,type1,400
vbamr,type2,200
hihrp,type2,200
drjcv,type2,200
oywch,type1,400
gtbju,type2,200
prhvf,type1,400
fpcfc,type2,200
hbcys,type1,400
hbcys,type2,200
bipdk,type2,200
